Rk,G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
4,4,2002-05-05,SAS,W,86,80,32,82,.390,5,21,.238,17,25,.680,14,54,16,6,9,12,24
5,5,2002-05-07,SAS,L,85,88,34,75,.453,7,14,.500,10,16,.625,7,36,18,10,3,16,24
6,6,2002-05-10,SAS,W,99,89,41,84,.488,3,12,.250,14,21,.667,13,48,16,2,3,7,23
7,7,2002-05-12,SAS,W,87,85,33,79,.418,6,16,.375,15,24,.625,16,48,13,3,4,9,25
8,8,2002-05-14,SAS,W,93,87,35,78,.449,5,14,.357,18,23,.783,7,34,20,7,7,11,23
9,9,2002-05-18,SAC,W,106,99,42,86,.488,6,20,.300,16,22,.727,11,41,20,9,8,18,20
10,10,2002-05-20,SAC,L,90,96,36,89,.404,3,19,.158,15,25,.600,18,53,17,9,3,15,31
11,11,2002-05-24,SAC,L,90,103,36,101,.356,10,31,.323,8,15,.533,19,52,25,10,4,15,28
12,12,2002-05-26,SAC,W,100,99,38,97,.392,6,26,.231,18,27,.667,25,56,17,7,8,11,24
13,13,2002-05-28,SAC,L,91,92,35,78,.449,4,17,.235,17,23,.739,11,42,15,3,4,12,27
14,14,2002-05-31,SAC,W,106,102,34,74,.459,4,15,.267,34,40,.850,6,45,20,3,6,14,24
15,15,2002-06-02,SAC,W,112,106,39,94,.415,7,17,.412,27,33,.818,15,52,24,5,4,12,25
16,16,2002-06-05,NJN,W,99,94,33,72,.458,1,10,.100,32,45,.711,17,50,21,8,8,16,20
17,17,2002-06-07,NJN,W,106,83,39,78,.500,9,16,.563,19,24,.792,12,47,26,6,7,16,21
18,18,2002-06-09,NJN,W,106,103,37,68,.544,8,16,.500,24,35,.686,7,40,17,7,10,19,22
19,19,2002-06-12,NJN,W,113,107,37,71,.521,11,19,.579,28,37,.757,7,39,28,7,3,9,15
